fipstate_mapped,county,naics,est
CALIFORNIA,Los Angeles County,Educational Services,4548
ILLINOIS,Cook County,Educational Services,2209
CALIFORNIA,Orange County,Educational Services,1779
NEW YORK,New York County,Educational Services,1692
ARIZONA,Maricopa County,Educational Services,1668
CALIFORNIA,San Diego County,Educational Services,1649
WASHINGTON,King County,Educational Services,1489
TEXAS,Harris County,Educational Services,1385
NEW YORK,Kings County,Educational Services,1222
CALIFORNIA,Santa Clara County,Educational Services,1154
CALIFORNIA,Alameda County,Educational Services,1046
FLORIDA,Broward County,Educational Services,983
MASSACHUSETTS,Middlesex County,Educational Services,941
TEXAS,Dallas County,Educational Services,868
TEXAS,Travis County,Educational Services,813
NEW YORK,Queens County,Educational Services,789
FLORIDA,Palm Beach County,Educational Services,747
GEORGIA,Fulton County,Educational Services,731
NEW YORK,Nassau County,Educational Services,728
MINNESOTA,Hennepin County,Educational Services,715
VIRGINIA,Fairfax County,Educational Services,692
DISTRICT OF COLUMBIA,District of Columbia,Educational Services,678
NEVADA,Clark County,Educational Services,667
CALIFORNIA,San Francisco County,Educational Services,662
NEW YORK,Suffolk County,Educational Services,647
FLORIDA,Orange County,Educational Services,641
FLORIDA,Hillsborough County,Educational Services,630
TEXAS,Tarrant County,Educational Services,608
NEW YORK,Westchester County,Educational Services,603
PENNSYLVANIA,Philadelphia County,Educational Services,597
MARYLAND,Montgomery County,Educational Services,594
NEW JERSEY,Bergen County,Educational Services,572
NORTH CAROLINA,Wake County,Educational Services,571
CONNECTICUT,Fairfield County,Educational Services,559
UTAH,Salt Lake County,Educational Services,556
TEXAS,Collin County,Educational Services,535
NORTH CAROLINA,Mecklenburg County,Educational Services,534
CALIFORNIA,Sacramento County,Educational Services,532
TEXAS,Bexar County,Educational Services,528
COLORADO,Denver County,Educational Services,527
CALIFORNIA,Riverside County,Educational Services,526
ILLINOIS,DuPage County,Educational Services,509
OREGON,Multnomah County,Educational Services,506
PENNSYLVANIA,Allegheny County,Educational Services,506
MICHIGAN,Oakland County,Educational Services,504
OHIO,Cuyahoga County,Educational Services,493
CALIFORNIA,San Bernardino County,Educational Services,480
CALIFORNIA,Contra Costa County,Educational Services,480
OHIO,Franklin County,Educational Services,478
CALIFORNIA,San Mateo County,Educational Services,475
PENNSYLVANIA,Montgomery County,Educational Services,463
MISSOURI,St. Louis County,Educational Services,441
MASSACHUSETTS,Suffolk County,Educational Services,434
MASSACHUSETTS,Norfolk County,Educational Services,423
FLORIDA,Pinellas County,Educational Services,402
FLORIDA,Duval County,Educational Services,393
GEORGIA,Gwinnett County,Educational Services,383
MICHIGAN,Wayne County,Educational Services,370
GEORGIA,Cobb County,Educational Services,364
HAWAII,Honolulu County,Educational Services,361
ARIZONA,Pima County,Educational Services,356
TEXAS,Fort Bend County,Educational Services,354
NEW JERSEY,Middlesex County,Educational Services,349
GEORGIA,DeKalb County,Educational Services,347
NEW JERSEY,Essex County,Educational Services,346
NEW JERSEY,Monmouth County,Educational Services,343
TEXAS,Denton County,Educational Services,341
NEW YORK,Erie County,Educational Services,340
ILLINOIS,Lake County,Educational Services,338
NEW JERSEY,Morris County,Educational Services,335
INDIANA,Marion County,Educational Services,334
COLORADO,Arapahoe County,Educational Services,333
OHIO,Hamilton County,Educational Services,333
UTAH,Utah County,Educational Services,331
CONNECTICUT,New Haven County,Educational Services,327
COLORADO,El Paso County,Educational Services,324
COLORADO,Jefferson County,Educational Services,322
CALIFORNIA,Ventura County,Educational Services,321
MASSACHUSETTS,Worcester County,Educational Services,320
WISCONSIN,Milwaukee County,Educational Services,319
COLORADO,Boulder County,Educational Services,312
NEW YORK,Monroe County,Educational Services,306
TENNESSEE,Davidson County,Educational Services,303
MASSACHUSETTS,Essex County,Educational Services,302
CONNECTICUT,Hartford County,Educational Services,296
TENNESSEE,Shelby County,Educational Services,294
NEW YORK,Bronx County,Educational Services,287
OREGON,Washington County,Educational Services,284
TEXAS,Williamson County,Educational Services,276
WASHINGTON,Snohomish County,Educational Services,273
WISCONSIN,Dane County,Educational Services,273
MARYLAND,Baltimore County,Educational Services,268
NEW JERSEY,Ocean County,Educational Services,262
MINNESOTA,Ramsey County,Educational Services,262
VIRGINIA,Loudoun County,Educational Services,262
KANSAS,Johnson County,Educational Services,262
DELAWARE,New Castle County,Educational Services,260
NEW JERSEY,Mercer County,Educational Services,258
PENNSYLVANIA,Bucks County,Educational Services,258
