"GEO_ID","NAME","B01001B_001E","B01001B_001M","B01001B_002E","B01001B_002M","B01001B_003E","B01001B_003M","B01001B_004E","B01001B_004M","B01001B_005E","B01001B_005M","B01001B_006E","B01001B_006M","B01001B_007E","B01001B_007M","B01001B_008E","B01001B_008M","B01001B_009E","B01001B_009M","B01001B_010E","B01001B_010M","B01001B_011E","B01001B_011M","B01001B_012E","B01001B_012M","B01001B_013E","B01001B_013M","B01001B_014E","B01001B_014M","B01001B_015E","B01001B_015M","B01001B_016E","B01001B_016M","B01001B_017E","B01001B_017M","B01001B_018E","B01001B_018M","B01001B_019E","B01001B_019M","B01001B_020E","B01001B_020M","B01001B_021E","B01001B_021M","B01001B_022E","B01001B_022M","B01001B_023E","B01001B_023M","B01001B_024E","B01001B_024M","B01001B_025E","B01001B_025M","B01001B_026E","B01001B_026M","B01001B_027E","B01001B_027M","B01001B_028E","B01001B_028M","B01001B_029E","B01001B_029M","B01001B_030E","B01001B_030M","B01001B_031E","B01001B_031M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"0100000US","United States","40619972","94692","19481572","53150","1219908","14841","1314214","19439","1437175","19718","926814","11749","600235","10699","1437100","15955","1452578","15021","1579503","15519","2691937","18843","2304117","15032","2214781","10874","1557374","9949","597857","7091","147979","5724","21138400","57018","1186507","18468","1273061","21654","1377083","20675","857937","11438","560241","11162","1426153","15862","1478749","15535","1641435","16106","2909253","19603","2576915","15814","2590593","10312","2012166","10759","920782","11612","327525","10042",
"0500000US01003","Baldwin County, Alabama","20974","1091","11805","569","964","732","1151","892","1149","645","842","263","137","141","310","316","939","1063","143","146","1888","1125","1895","1285","1290","602","652","472","48","3","397","402","9169","1146","122","204","666","800","205","280","310","263","0","210","404","458","1166","813","1094","798","1927","536","818","536","1082","650","953","703","92","118","330","418",
"0500000US01015","Calhoun County, Alabama","25351","916","12150","400","965","114","1210","305","436","318","436","204","441","461","1702","461","822","90","362","493","1236","855","1986","987","1202","61","1196","155","156","134","0","210","13201","838","753","153","1009","397","698","416","645","232","655","640","1150","673","889","554","713","538","1556","633","1561","610","1588","210","1297","48","627","107","60","99",
"0500000US01043","Cullman County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01049","DeKalb County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01051","Elmore County, Alabama","18189","2373","9129","1405","774","526","388","372","709","616","163","154","393","392","1271","628","453","396","376","366","1375","645","1396","452","1040","104","470","197","321","184","0","210","9060","1142","40","78","1362","650","774","608","14","27","0","210","484","561","734","697","977","729","1454","232","1089","387","1169","176","584","287","167","164","212","211",
"0500000US01055","Etowah County, Alabama","15605","774","6054","725","313","210","335","299","186","171","44","65","214","280","416","449","704","430","501","367","634","556","920","660","759","430","693","513","271","237","64","111","9551","457","675","277","811","448","1023","431","715","622","42","6","794","330","452","317","1089","506","953","619","563","335","980","66","885","342","421","341","148","107",
"0500000US01069","Houston County, Alabama","29753","415","13636","325","1138","134","1461","223","924","211","738","39","407","210","999","68","979","3","869","123","1742","60","1342","54","1520","40","1007","170","436","70","74","70","16117","196","1230","96","904","228","1240","227","698","38","449","211","988","211","1103","34","1282","36","2199","40","1994","38","1797","57","1424","32","601","148","208","148",
"0500000US01073","Jefferson County, Alabama","280575","3698","127667","1827","8020","860","8480","1746","10375","1845","6365","130","3903","107","9444","249","8590","451","9732","253","16211","340","14230","289","14912","208","12065","68","3925","515","1415","513","152908","2149","8467","545","8213","1698","9737","1526","6547","262","3579","415","9965","430","9953","532","11658","210","21010","396","18528","489","19229","264","17124","116","6639","659","2259","600",
"0500000US01077","Lauderdale County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01081","Lee County, Alabama","41665","795","19245","1141","1087","536","1675","688","1343","688","1038","867","803","353","1984","809","1023","705","1690","1105","2686","1113","1720","860","2194","110","1288","479","638","478","76","122","22420","1124","1719","536","2083","1341","1365","826","305","362","1107","395","1866","683","1185","667","1672","97","3140","210","2888","210","2338","458","1759","180","857","149","136","149",
"0500000US01083","Limestone County, Alabama","14636","1370","7848","856","407","170","362","328","655","478","82","163","83","155","679","581","340","252","500","478","1460","534","1311","506","861","495","901","497","207","230","0","210","6788","803","385","183","114","213","189","272","417","391","200","229","174","177","631","314","669","579","758","598","1041","600","1081","172","738","350","302","333","89","157",
"0500000US01089","Madison County, Alabama","99819","2737","47899","1487","3075","430","2699","822","4239","922","2062","213","2167","958","5012","953","3811","298","3470","544","6173","704","4734","322","5210","286","3664","299","1267","209","316","203","51920","1848","2697","400","3619","1013","2491","880","1939","252","2056","605","4427","812","3973","199","3688","507","7312","382","6294","161","6540","79","4332","333","2191","231","361","220",
"0500000US01095","Marshall County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01097","Mobile County, Alabama","146279","3450","67709","1575","5506","324","4287","1008","6326","974","3570","138","1956","210","4756","545","4857","546","5115","437","7998","353","6884","126","7742","162","5963","99","2250","267","499","263","78570","2330","5744","128","6026","1365","3302","1178","3494","67","1712","258","5138","187","5705","315","5800","563","10574","443","8780","375","9756","113","7955","172","3534","471","1050","450",
"0500000US01101","Montgomery County, Alabama","134203","2013","61061","1134","4560","849","6253","1005","3539","998","3151","114","2256","210","4744","162","4165","208","4954","287","7584","212","6395","196","6589","210","4578","273","2122","148","171","148","73142","1280","4590","371","4531","1424","4269","1305","2932","195","1978","210","5348","169","5158","364","5911","166","10180","216","8883","168","8616","47","7030","210","2521","476","1195","480",
"0500000US01103","Morgan County, Alabama","15306","1871","6187","1288","0","210","643","862","150","290","203","214","4","3","109","178","198","109","1091","692","1130","503","826","462","1200","436","480","402","150","124","3","2","9119","1777","511","671","686","620","1221","1236","547","264","0","210","0","210","301","360","388","564","1747","845","1398","814","1090","71","782","250","401","274","47","3",
"0500000US01115","St. Clair County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01117","Shelby County, Alabama","32191","1864","14762","1209","550","395","922","403","1094","433","1116","358","670","505","521","333","1365","587","263","233","3232","584","2093","206","1525","137","921","340","392","372","98","176","17429","1043","1342","419","945","580","1039","564","524","347","884","520","830","482","1245","210","1328","58","3199","210","2447","417","1796","239","1012","431","624","424","214","204",
"0500000US01121","Talladega County, Alabama","23663","2028","11723","1414","815","528","364","311","887","389","552","419","68","104","551","449","594","646","1873","747","858","489","2155","604","1205","296","1383","512","418","489","0","210","11940","1023","494","431","624","449","463","398","214","199","480","394","819","524","723","498","971","770","1725","761","1856","152","1552","343","1361","157","458","277","200","225",
"0500000US01125","Tuscaloosa County, Alabama","72342","2727","32528","1652","1762","915","2675","1122","2483","998","1629","126","2004","887","3540","928","2614","225","2680","173","4758","835","2367","856","2834","308","2314","474","650","259","218","203","39814","1696","2128","387","3727","1102","1406","1022","1578","210","2862","1209","3532","1125","2803","530","3405","210","4738","925","4720","412","4068","241","3186","299","1271","342","390","276",
"0500000US02020","Anchorage Municipality, Alaska","14367","2010","7624","1118","554","394","0","170","297","437","475","493","220","344","724","589","1027","428","262","251","2028","605","412","368","1058","395","567","379","0","170","0","170","6743","1191","210","211","218","364","566","476","474","482","0","170","728","408","965","406","168","199","1410","537","521","418","805","393","509","368","91","110","78","101",
"0500000US02090","Fairbanks North Star Borough, Alaska","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US04001","Apache County, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US04003","Cochise County, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US04005","Coconino County, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US04013","Maricopa County, Arizona","267977","10866","134029","5987","9025","1679","10550","2144","8256","2071","6723","1247","3131","998","10333","1564","11443","1699","12600","1278","20489","1602","16659","672","12958","822","8073","560","3530","410","259","224","133948","6469","10002","1587","10554","1760","10784","2211","5197","870","3588","667","8766","1179","10747","1960","11612","1632","19454","1442","15468","1124","13123","1092","9657","432","4005","716","991","558",
"0500000US04015","Mohave County, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US04017","Navajo County, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US04019","Pima County, Arizona","41665","3765","22456","2135","991","354","2004","783","916","534","883","637","386","361","2424","694","1901","415","2419","447","3447","941","2161","730","2447","389","1568","243","869","69","40","69","19209","1969","1142","524","1359","669","1674","751","1017","470","439","259","2372","592","1454","432","1504","337","2379","585","1233","472","1796","200","1753","232","913","187","174","168",
"0500000US04021","Pinal County, Arizona","29576","2791","15994","1583","934","867","1322","605","935","499","872","720","0","232","1314","658","1523","641","2529","1174","1407","702","2345","1163","1532","167","740","522","541","392","0","232","13582","2053","935","836","1066","659","954","585","768","633","332","500","779","649","782","620","347","449","2354","987","1843","822","1602","69","1331","332","385","343","104","117",
"0500000US04025","Yavapai County, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US04027","Yuma County, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US05007","Benton County, Arkansas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US05031","Craighead County, Arkansas","17222","2685","7893","1793","839","942","1353","600","434","349","560","487","916","1076","685","718","277","301","402","534","1044","846","824","729","244","155","301","254","14","24","0","208","9329","1500","434","530","1042","775","1402","795","426","706","438","555","129","128","777","726","1831","932","1445","670","553","468","640","420","212","198","0","208","0","208",
"0500000US05045","Faulkner County, Arkansas","15488","1201","7311","838","473","516","391","431","1094","593","403","438","171","182","652","397","1038","468","566","486","871","603","736","632","273","234","408","313","222","236","13","4","8177","814","793","599","167","282","628","602","245","232","640","418","1007","557","423","396","399","374","1625","648","775","474","726","374","454","372","295","176","0","208",
